Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
21,58,32,0,1769.16,4.45637,107.199,1.66052,-132.209,1,1,-0.656799,-19.7042,0.0648716,11.0961
21,58,32,0,642.679,1.78606,61.2327,6.5501,-75.3269,1,1,-0.608652,-18.2598,0.0323695,6.74256
21,58,31,0,1177.57,3.27561,118.832,1.11039,-584.204,1,1,0.947978,28.4396,0.0433773,7.23713
21,58,314,0,1245,3.46897,136.399,9.46121,-712.506,2,1,-0.681317,-20.4397,0.0475212,7.50647
21,58,318,0,304.933,0.848695,360,0,-12.2798,0,0,-0.227179,-6.81542,0.00669184,3.96107
21,58,318,0,752.011,2.09184,81.7992,0.545841,424.121,1,1,0.791913,23.7576,0.0142099,5.04998
21,58,318,0,1911.57,5.31786,6.99993,4.62963,-284.245,1,1,-0.202829,-6.08494,0.0762405,12.4367
21,58,31,5,630.92,1.7555,121.232,7.16004,-55.623,1,1,0.246724,7.4018,0.0337999,6.20932
21,58,31,5,3608.55,9.93826,32.1663,2.2646,-66.5788,1,1,-0.2337,-7.01107,0.111826,15.1895
21,58,31,5,347.356,0.973451,179.165,14.9218,-349.129,2,1,-0.975265,-29.2583,0.0109289,4.00302
21,58,31,5,488.356,1.37141,9.49991,11.468,60.1321,2,1,0.868306,26.0494,0.0200117,6.25332
21,58,33,5,2537.98,7.05721,0,5.67382,-22.6903,1,0,0.339233,10.1771,0.0921817,12.9331
21,58,33,5,2544.01,7.11153,23.3664,2.8397,-3.1153,6,3,0.1436,4.30803,0.0679209,15.6152
21,58,33,5,1078.12,2.99703,28.633,1.66605,-463.195,1,1,0.072823,2.18471,0.0416252,7.25874
21,58,33,5,1945.29,5.36341,31.833,2.07473,-63.875,1,1,-0.544255,-16.3278,0.0700638,14.4506
21,58,313,5,872.989,2.42567,128.165,7.21621,156.666,1,1,0.269374,8.0813,0.0283835,7.06416
21,58,313,5,1860.86,5.17918,146.132,9.3669,-139.1,1,1,0.299481,8.98453,0.0541813,9.52674
14,58,39,5,977.078,2.71438,63.7994,4.23643,765.581,1,1,1.30872,39.2621,0.018538,6.88542
14,58,39,5,2712.66,7.54224,32.7663,5.17497,225.166,1,1,1.07462,32.2389,0.0572547,13.7419
14,58,39,5,3298.1,9.17934,46.8995,1.30519,17.4924,1,1,0.0984997,2.95502,0.0654166,16.9263
14,58,39,5,2410.2,6.69196,170.732,1.15537,175.602,1,1,-0.647707,-19.4314,0.063171,13.3229
