Video File,Subject,TreatmentFactor,Mean_Burst_Activity_(%),Mean_Burst_Count,Mean_Burst_Count/Minute,Mean_Burst_Duration_(s),Mean_Inactivity_(%),Mean_Inactivity_Duration_(s),Mean_Total_Burst_Duration_(s),Clutch,Parentage,indv,ID
BMAA_0_5-3B_Insomnia_1.avi,S01,Control,2.61627907,3,2.969973175,0.528546,97.38372093,59.02097,1.585638,5-3B,53,y,Insomnia
BMAA_0_5-3B_Jif.avi,S01,Control,1.461988304,2,1.980801478,0.4428475,98.5380117,59.695843,0.885695,5-3B,53,y,Jif
BMAA_0_5-3B_Kalamazoo_1.avi,S01,Control,3.790087464,3,2.986021537,0.761566,96.20991254,57.99618,2.284698,5-3B,53,y,Kalamazoo
BMAA_0_5-3B_Lake_1.avi,S01,Control,13.00578035,8,7.893683139,0.98857125,86.99421965,52.899546,7.90857,5-3B,53,y,Lake
BMAA_0_5-3B_Africa.avi,S01,Control,0,0,0,0,100,60.571056,0,5-3B,53,y,Africa
BMAA_0_5-3B_Brazil.avi,S01,Control,0,0,0,0,100,60.783135,0,5-3B,53,y,Brazil
BMAA_0_5-3B_Canada.avi,S01,Control,1.453488372,1,0.990182146,0.88074,98.54651163,59.714172,0.88074,5-3B,53,y,Canada
BMAA_0_5-3B_Denmark_1.avi,S01,Control,0,0,0,0,100,60.240222,0,5-3B,53,y,Denmark
BMAA_0_5-3B_Ecuador.avi,S01,Control,3.779069767,3,2.964051197,0.764980667,96.22093023,58.432754,2.294942,5-3B,53,y,Ecuador
BMAA_0_5-3B_Fiji_2.avi,S01,Control,1.461988304,1,0.995396292,0.88125,98.5380117,59.39625,0.88125,5-3B,53,y,Fiji
